"id","category","title","description","filename"
"c2e03165-e9d4-4755-a5a4-b81138ab127d","Fitness","SonicRelief X1 Percussive Massager","Target deep muscle tension with the SonicRelief X1. This ultra-quiet percussive therapy device delivers deep vibrations to relieve pain and improve mobility in just minutes.","fitness_7.png"
"86748e32-4680-4ffa-9c58-615481b6cce6","Fitness","TerraGrip Sustainable Yoga Mat","Elevate your practice with the TerraGrip Yoga Mat. Made from sustainable cork and natural rubber, it provides unparalleled grip and cushion for both hot yoga and floor exercises.","fitness_8.png"
"0e643709-3a23-49e6-a3bc-4114afa7f53f","Fitness","TitanStretch Resistance Kit","Build strength anywhere with the TitanStretch Kit. These heavy-duty, anti-snap resistance bands come with ergonomic handles and a door anchor, making them the ultimate portable gym solution.","fitness_9.png"
"993210fd-e904-4159-b879-264715005f63","Fitness","LuminoSkip LED Jump Rope","Make cardio fun with LuminoSkip. This high-speed LED jump rope tracks your jumps in the air using persistent-vision technology, displaying your jump count right in front of your eyes.","fitness_10.png"
"dca02f68-921a-4db7-9fc2-de25329056a5","Snacks","VerdeCrisp Root Medley","Experience the earthy crunch of real parsnip, beet, and sweet potato slices, lightly dusted with Himalayan pink salt. The ultimate garden-to-bag snack experience.","snacks_1.png"
"e204fd73-ee35-4530-8a7d-59bab5757126","Snacks","FirePuffs Magma Heat","Unleash the burn with our air-puffed corn snacks coated in a secret blend of habanero and ghost pepper spices. Not for the faint of heart!","snacks_2.png"
"238794e2-54b0-4e25-b132-e646f6481378","Snacks","BeeNutri Honey-Glazed Chickpeas","High-protein, high-fiber chickpeas roasted to perfection with a touch of organic wildflower honey and a pinch of salt. Sweet, salty, and satisfyingly crunchy.","snacks_3.png"
"83137394-1890-46ee-bd05-93b743638308","Snacks","OceanGold Salted Caramel Corn","Indulge in the perfect balance of sweet buttery caramel and hand-harvested sea salt on fluffy mushroom-style popcorn. A gourmet cinema treat at home.","snacks_4.png"
"5366d25c-837f-4521-9beb-efd70753f90b","Snacks","NutraSphere Cocoa-Hazelnut Bites","Satisfy your cravings with these protein-packed energy spheres made from raw cocoa, toasted hazelnuts, and dates. No added sugars, just pure power.","snacks_5.png"
"4858536b-75e6-4b75-a98f-3bc13e9915be","Snacks","LentiZest Chili Lime Spirals","A tangy explosion of fresh lime and mild chili on crunchy lentil flour twists. The guilt-free, plant-based snack your taste buds have been waiting for.","snacks_6.png"
"effdfd63-e022-476b-af8d-50cbc2954b4a","Snacks","SmokeNut Hickory Almonds","Whole California almonds slow-roasted over hickory wood chips for a deep, smoky flavor that lingers. Perfect for your next charcuterie board.","snacks_7.png"
"752676fc-7676-416a-b315-8d60f5ec40a2","Snacks","TartTangle Sour Green Apple Strips","Real fruit puree pressed into chewy, tangy strips that pack a sour punch. No added sugars or artificial dyes, just pure orchard flavor in every bite.","snacks_8.png"
"259414cc-a22a-4085-8f61-44ad9c09d8f1","Snacks","UmamiThin Miso Glazed Seaweed","Paper-thin sheets of premium roasted seaweed brushed with a savory miso glaze and sprinkled with toasted sesame seeds. A light and crispy umami bomb.","snacks_9.png"
"6753cb5b-63c9-4ae2-b5fb-256831435fb9","Snacks","CocoCrunch Toasted Clusters","Crispy flakes of organic coconut bonded with chia seeds and sunflower kernels for a tropical, high-energy crunch. Perfect as a topper or a standalone snack.","snacks_10.png"
